Name,Id,IconIdx,Subtype,Quality,BasePrice,PriceRate,FieldItemId,Weight,NeedAbility,NeedValue,AddAbility,AddValue,StatusId,StatusType,StatusPerSec,UseEffect,UseSound,CooldownType,CooldownSec,ScriptIdx,TypeName,StlKey,DisplayName,Description
pat_1,1,2165,511,30,197000,0,246,10,0,0,0,0,0,0,0,0,0,0,0,0,Cart Body,LPAT001,Wooden Frame,"A basic frame, the first and only one available during the days when the Cart was just invented."
pat_2,2,2166,511,32,249200,0,246,10,0,0,0,0,0,0,0,0,0,0,0,0,Cart Body,LPAT002,Wooden Carbon Frame,An upgraded Wooden Frame that has increased stability and higher quality.
pat_3,3,2167,511,34,307900,0,246,10,0,0,0,0,0,0,0,0,0,0,0,0,Cart Body,LPAT003,Colmandy Frame,A frame with improved durability with the addition of iron plates.
pat_4,4,2168,511,36,370400,0,246,10,0,0,0,0,0,0,0,0,0,0,0,0,Cart Body,LPAT004,Colmanju Frame,An upgraded Colmandy Frame that demonstrates further advances in frame durability.
pat_5,5,2169,511,46,15000000,0,246,10,0,0,0,0,0,0,0,0,0,0,0,0,Cart Body,LPAT005,Sporty Frame,A frame designed by Anthony Motors which opened up the era of racing.
pat_6,6,2171,511,46,15000000,0,246,10,0,0,0,0,0,0,0,0,0,0,0,0,Cart Body,LPAT006,Sporty R Frame,The red version of the popular Cart Frame designed by Anthony Motors.
pat_7,7,2175,511,46,15000000,0,246,10,0,0,0,0,0,0,0,0,0,0,0,0,Cart Body,LPAT301,Green Sporty,The green version of the popular Cart Frame designed by Anthony Motors.
pat_8,8,2176,511,46,15000000,0,246,10,0,0,0,0,0,0,0,0,0,0,0,0,Cart Body,LPAT303,Black Sporty,The black version of the popular Cart Frame designed by Anthony Motors.
pat_9,9,2276,511,38,15000000,0,246,10,0,0,0,0,0,0,0,0,0,0,0,0,Cart Body,LPAT304,Red Steel Frame,A frame with improved durability with the addition of iron plates.
pat_10,10,2278,511,38,15000000,0,246,10,0,0,0,0,0,0,0,0,0,0,0,0,Cart Body,LPAT305,Yellow Steel Frame,A frame with improved durability with the addition of iron plates.
pat_11,11,2297,511,46,15000000,0,246,10,0,0,0,0,0,0,0,0,0,0,0,0,Cart Body,LPAT306,Sporty WR Frame,The white and red version of the popular Cart Frame designed by Anthony Motors.
