Name,Id,DisplayName,Description,StartMsg,EndMsg,TimeLimit,OwnerType,Icon,StlKey
quest_101,101,Dreadful Epidemic,"Myad recently told you about the epidemic in the village, and said that Seyon might be able to help.",,,0,0,81,LQUE0101
quest_102,102,Dreadful Epidemic,Seyon said that the mushrooms started to rot after a group of suspicious people garbed in red were camping near them. Let's search the area around the mushrooms for clues.,,,0,0,81,LQUE0102
quest_103,103,Mysterious Emblem,You discovered this peculiar emblem near the mushrooms. You better show this to Myad.,,,0,0,81,LQUE0103
quest_104,104,Mysterious Emblem,"Just like Seyon said, those suspicious strangers were also seen by Myad. Myad told you to meet Karitte at the Tower of Luxem Valley.",,,0,0,81,LQUE0104
quest_105,105,Healing Hands,"Karitte said that the epidemic is actually a curse. An antidote needs to be created, so you'll have to collect 10 Pumpkin Seeds for Karitte.",,,0,0,81,LQUE0105
quest_106,106,Healing Hands,"You have to complete this quest before the Soil of Purification and Antidote lose their effectiveness. There's not much time left, so you better place the Soil of Purification a",,,180,0,81,LQUE0106
quest_107,107,Healing Hands,"Myad has asked you to save Pony and Ronk. You're running out of time, so you've got to bring the antidote to them.",,,90,0,81,LQUE0107
quest_108,108,Healing Hands,Myad said that Zant Village seems to be cursed too. He's asked you to give the Antidote Recipe to Lena.,,,0,0,81,LQUE0108
quest_109,109,Sacrificed Soul,"Lena, a descendant of Lillith, said that the dark force around Zant Village is caused by a witch staying in the Tower of Luxem Valley. Lena said that Karitte must be stopped, and is spreading bad rumors about her. You should see Karitte first.",,,0,0,81,LQUE0109
quest_110,110,The Truth to the Rumors,"Karitte told you a totally different story than Lena. Something else is behind the dark force affecting the Canyon City. Karitte has told you to check up on Luth, who is well known for causing trouble in Zant.",,,0,0,81,LQUE0110
quest_111,111,The Truth to the Rumors,"Why was Luth so angry with you, and what could be so special about the hourglass he's mentioned? You better ask Lena and find out what you can.",,,0,0,81,LQUE0111
quest_112,112,Hourglass of Purification,"According to Lena, Luth messed around with the hourglass in Zant and took the Crystal Key. You better question Luth and see if you can get the Crystal Key back.",,,0,0,81,LQUE0112
quest_113,113,Hourglass of Purification,"That cowardly Luth! How could he throw away the Crystal Key because of a Woopie? Could the big, grey Woopie have been the Woopie King? Hurry and find the Crystal Key!",,,0,0,81,LQUE0113
quest_114,114,Hourglass of Purification,Lena told you to put the Crystal Key into the hourglass. You'll need to search for the hourglass and its keyhole.,,,0,0,81,LQUE0114
quest_115,115,Hourglass of Purification,"Lena recognizes her mistake, and she has asked you to apologize to Karitte for her before she visits her in person.",,,0,0,81,LQUE0115
quest_116,116,A Favor for Karitte,"Karitte has asked you to meet Harin in Junon Polis, and find out if she's really her older sister.",,,0,0,81,LQUE0116
quest_117,117,Proof,"To earn Harin's trust, you've decided to help her by finding Bellia, the Gypsy Jewel Seller, so you can get some sort of secret medicine.",,,0,0,81,LQUE0117
quest_118,118,Forbidden Potion,"Bellia asks you to get 20 Sharp Stingers and 20 Wild Animal Claws to make the secret medicine. Hunt Queen Bibis and Queen HoneyBees to find Sharp Stingers, and Fighter Rackies for the Wild Animal Claws.",,,0,0,81,LQUE0118
quest_119,119,Forbidden Potion,Bellia has asked you to ask Harin about the Gypsy Permit she gave to you. You need to speak to Harin and see if you can learn who issued that permit.,,,0,0,81,LQUE0119
